symbol,best_return,position_size,stop_loss,take_profit,win_rate,sharpe_ratio
BTC-USD,38.474578166317954,0.95,0.03,0.2,41.66666666666667,0.6422169944129092
ETH-USD,-6.397624657095894,0.95,0.05,0.2,41.935483870967744,0.032267501242242015
SOL-USD,-34.08571744667942,0.95,0.05,0.1,39.130434782608695,-0.2798833679532634
